word,meaning,example,category
apple,사과,I eat an apple every morning.,일상
breakfast,아침식사,She skipped breakfast today.,일상
weather,날씨,The weather is nice this weekend.,일상
neighbor,이웃,My neighbor waters my plants when I'm away.,일상
laundry,빨래,I need to do the laundry tonight.,일상
grocery,식료품,We ran out of grocery items.,일상
appointment,약속,I have a dentist appointment tomorrow.,일상
umbrella,우산,"Don't forget your umbrella, it might rain.",일상
negotiate,협상하다,They negotiated a better price for the contract.,비즈니스
deadline,마감일,The deadline for the report is Friday.,비즈니스
invoice,청구서,Please send the invoice by email.,비즈니스
revenue,수익,Revenue increased by ten percent this quarter.,비즈니스
stakeholder,이해관계자,All stakeholders agreed on the new plan.,비즈니스
merger,합병,The merger between the two companies was finalized.,비즈니스
quarterly,분기별의,We have a quarterly meeting next week.,비즈니스
budget,예산,The marketing budget was cut this year.,비즈니스
elaborate,자세히 설명하다,Could you elaborate on that point?,시험
ambiguous,애매한,The instructions were ambiguous and confusing.,시험
hypothesis,가설,The scientist tested her hypothesis carefully.,시험
correlation,상관관계,There is a strong correlation between the two variables.,시험
discrepancy,차이,There was a discrepancy between the two reports.,시험
plausible,그럴듯한,His explanation seemed plausible at first.,시험
comprehensive,포괄적인,The textbook offers a comprehensive review of the subject.,시험
meticulous,꼼꼼한,She is meticulous about checking her work.,시험
